name,state,FDR,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
GENE-1,YES,0,12,15,16,10,13,26,23,40,26,26
GENE-13,YES,0,20,21,23,13,24,170,155,148,147,216
GENE-339,YES,0,21,17,13,23,31,25,29,36,31,30
GENE-553,YES,0,135,176,165,176,181,45,51,61,44,58
GENE-646,YES,0,52,20,55,27,30,194,277,212,183,220
GENE-650,YES,0,43,18,35,27,22,62,93,74,94,82
GENE-653,YES,0,177,173,207,173,214,26,52,27,43,28
GENE-655,YES,0,12,12,9,9,9,21,17,18,28,25
GENE-684,YES,0,38,60,38,33,31,99,82,82,61,101
GENE-689,YES,0,664,308,507,683,692,411,551,608,373,384
GENE-713,YES,0,69,207,172,115,264,455,1020,178,1429,664
GENE-819,YES,0,273,240,242,328,249,19,20,18,16,23
GENE-1017,YES,0,91,108,86,105,110,177,159,135,136,103
GENE-1040,YES,0,181,100,143,170,108,249,181,205,178,229
GENE-1122,YES,0,1355,1470,1308,1392,1185,921,952,834,776,798
GENE-1127,YES,0,4,6,7,10,3,18,18,27,16,11
GENE-1256,YES,0,178,218,191,189,231,435,360,443,383,393
GENE-1289,YES,0,17,15,12,14,13,5,15,10,10,17
GENE-1355,YES,0,52,57,43,61,76,8,13,12,6,9
GENE-1435,YES,0,864,743,1010,985,1134,154,167,168,145,142
GENE-1611,YES,0,134,133,163,142,126,24,32,29,28,36
GENE-1628,YES,0,125,150,360,401,402,1040,1215,510,717,1100
GENE-1699,YES,0,113,185,213,117,89,217,321,288,248,250
GENE-1710,YES,0,130,63,29,34,81,1,10,1,6,2
GENE-1807,YES,0,126,124,153,164,147,49,37,35,38,43
GENE-2259,YES,0,112,175,113,87,169,21,13,22,20,10
GENE-2356,YES,0,10,14,8,17,9,14,16,16,14,34
GENE-2403,YES,0,493,579,419,478,401,68,84,70,71,62
GENE-2555,YES,0,3824,3402,4270,4000,4799,922,1172,863,792,826
GENE-2582,YES,0,3945,3409,3542,2999,3593,6753,3218,3219,1993,5144
GENE-2613,YES,0,20,17,19,22,19,19,16,15,6,14
GENE-2638,YES,0,607,573,563,572,501,860,965,893,890,806
GENE-2723,YES,0,32,43,38,33,39,278,359,323,277,341
GENE-2746,YES,0,32,78,54,108,44,35,73,32,68,42
GENE-2753,YES,0,190,189,207,223,173,85,93,80,102,96
GENE-2857,YES,0,151,67,256,99,180,11,12,15,12,14
GENE-2861,YES,0,6,6,8,4,3,32,38,24,72,42
GENE-2960,YES,0,5,3,3,2,3,29,31,52,43,19
GENE-2972,YES,0,161,143,187,171,151,45,43,36,52,59
GENE-3088,YES,0,2,3,3,3,1,24,17,26,20,19
GENE-3538,YES,0,8,36,10,14,22,51,31,33,60,23
GENE-3569,YES,0,10,10,18,5,8,27,13,14,24,12
GENE-3622,YES,0,4,3,3,6,6,22,37,43,30,32
GENE-3793,YES,0,242,310,286,221,339,15,6,29,20,16
GENE-3958,YES,0,257,283,327,258,132,135,190,421,520,1690
GENE-4143,YES,0,712,1265,776,790,986,1758,1835,1638,1786,1870
GENE-4179,YES,0,6,5,6,2,4,55,53,58,58,81
GENE-4280,YES,0,138,276,158,228,205,104,119,71,175,104
GENE-4329,YES,0,38,53,47,52,44,4,1,3,4,1
GENE-4380,YES,0,33,22,25,31,32,49,64,47,42,43
GENE-4420,YES,0,12,33,22,34,37,4,11,9,10,7
GENE-4478,YES,0,183,389,182,254,204,456,1152,708,879,406
GENE-4530,YES,0,3099,3034,2863,3138,3402,700,979,890,681,812
GENE-4552,YES,0,42,51,49,51,66,56,85,72,71,63
GENE-4622,YES,0,4,7,11,13,5,24,31,25,31,34
GENE-4626,YES,0,17,6,10,11,10,41,19,29,50,40
GENE-4710,YES,0,3595,3765,4294,3759,3849,275,187,197,188,224
GENE-4979,YES,0,17,45,20,37,52,116,96,113,155,116
GENE-5019,YES,0,3,3,4,6,4,28,38,35,29,21
GENE-5117,YES,0,0,2,3,3,6,29,18,54,28,9
GENE-5132,YES,0,7,9,12,11,11,13,12,14,16,11
GENE-5181,YES,0,175,514,204,230,199,1255,427,1163,470,776
GENE-5338,YES,0,18,21,19,14,18,19,10,21,20,25
GENE-5395,YES,0,70,49,75,61,67,31,20,27,16,23
GENE-5458,YES,0,73,94,60,78,73,88,89,93,85,101
GENE-5599,YES,0,7,11,12,8,11,30,25,21,36,32
GENE-5648,YES,0,22,30,14,16,16,52,36,56,47,31
GENE-5667,YES,0,2,3,5,5,4,92,65,121,89,65
GENE-5809,YES,0,362,353,406,390,338,98,90,88,101,96
GENE-5914,YES,0,105,476,1751,360,1469,272,2258,2255,2120,704
GENE-6036,YES,0,18,12,12,11,8,27,18,24,33,28
GENE-6123,YES,0,34,46,69,95,45,79,54,37,106,92
GENE-6161,YES,0,307,567,497,389,850,10,5,4,4,3
GENE-6234,YES,0,386,323,351,390,299,79,95,62,96,98
GENE-6354,YES,0,846,1276,1037,938,993,4219,4874,4569,3285,5492
GENE-6474,YES,0,677,683,1331,682,835,515,572,455,623,441
GENE-6515,YES,0,1253,1495,1239,1178,1280,114,105,126,124,104
GENE-6905,YES,0,1699,2002,1936,1716,1254,174,175,224,234,232
GENE-7263,YES,0,25,16,13,15,19,32,25,31,24,44
GENE-7279,YES,0,101,80,100,86,87,9,12,6,7,16
GENE-7361,YES,0,906,1061,587,612,844,6443,6976,5875,3604,3888
GENE-7483,YES,0,79,53,60,53,77,104,136,115,90,124
GENE-7497,YES,0,19538,63472,23490,26577,21629,361,905,1366,596,1279
GENE-7609,YES,0,13,16,10,4,10,17,12,12,6,5
GENE-7761,YES,0,9,1124,3244,170,428,0,54,248,96,27
GENE-7825,YES,0,23,52,37,40,62,2,3,1,3,4
GENE-7921,YES,0,31,14,19,29,27,28,8,15,15,27
GENE-7929,YES,0,21,25,74,59,5,42,158,3,5,64
GENE-7988,YES,0,850,792,904,865,929,589,586,520,550,545
GENE-8084,YES,0,41,21,25,24,23,93,109,99,174,111
GENE-8379,YES,0,8017,8002,7087,6991,9627,4123,2756,3483,2301,2245
GENE-8392,YES,0,1884,2109,1965,1703,2021,1775,1746,1636,1545,1867
GENE-8412,YES,0,54,44,56,37,51,57,59,63,63,50
GENE-8658,YES,0,562,411,1089,636,394,815,198,402,219,277
GENE-8666,YES,0,135,289,73,126,196,103,276,77,617,95
GENE-8745,YES,0,13,20,13,14,19,34,46,43,54,42
GENE-8827,YES,0,21,14,33,18,20,23,42,49,73,56
GENE-8856,YES,0,123,99,129,171,164,299,207,180,191,362
GENE-8864,YES,0,924,723,1004,873,469,201,89,129,89,153
GENE-9212,YES,0,16,19,10,22,21,109,114,108,136,116
GENE-9227,YES,0,66,65,115,62,49,8,10,7,8,8
GENE-9276,YES,0,2964,2493,2545,4036,3384,504,473,472,363,527
GENE-9442,YES,0,358,453,369,362,390,416,334,383,232,277
GENE-9447,YES,0,901,950,675,873,712,32,35,24,26,32
GENE-9724,YES,0,978,872,1002,898,895,534,573,565,538,556
GENE-9777,YES,0,11,16,35,9,5,14,11,6,1,9
GENE-9829,YES,0,47,83,102,79,65,43,33,46,48,34
GENE-9833,YES,0,140,185,165,177,106,278,320,266,289,204
GENE-10011,YES,0,828,424,856,1143,702,20849,21144,19102,26653,24718
GENE-10018,YES,0,643,802,778,849,962,246,218,222,246,230
GENE-10052,YES,0,11681,11839,14791,11102,14126,1636,2403,2150,2088,1597
GENE-10178,YES,0,1,10,4,17,8,178,93,158,145,75
GENE-10313,YES,0,148,172,197,203,147,155,148,125,111,139
GENE-10320,YES,0,5,9,10,12,12,65,87,98,94,66
GENE-10360,YES,0,10,15,8,11,12,39,60,50,52,49
GENE-10433,YES,0,73,56,44,38,43,64,60,109,116,92
GENE-10632,YES,0,138,107,124,106,146,353,328,296,335,273
GENE-10872,YES,0,34,47,49,45,9,112,254,106,132,141
GENE-11272,YES,0,175,296,161,384,205,145,212,192,135,192
